periode,penumpang_datang,penumpang_berangkat
Januari 2021,48767,56097
Februari 2021,40909,38782
Maret 2021,59749,54774
April 2021,70231,72097
Mei 2021,70105,57317
Juni 2021,94713,89656
Juli 2021,15192,18393
Agustus 2021,20712,22133
September 2021,44303,40262
Oktober 2021,69708,63205
November 2021,85729,81701
Desember 2021,97955,97085
Januari 2022,101907,96614
Februari 2022,79427,71278
Maret 2022,97208,97928
April 2022,96965,86656
Mei 2022,149471,148304
Juni 2022,136343,124621
Juli 2022,136450,141913
Agustus 2022,125824,116237
September 2022,112067,105554
Oktober 2022,122697,123597
November 2022,143769,144982
Desember 2022,160548,165100
Januari 2023,140867,153005
Februari 2023,142543,134977
Maret 2023,136719,137736
April 2023,165954,147685
Mei 2023,181633,188760
Juni 2023,173285,162218
Juli 2023,188049,197819
Agustus 2023,171137,156193
September 2023,160517,152213
Oktober 2023,157494,164949
November 2023,163833,162484
Desember 2023,173276,178383
Januari 2024,136968,151860
Februari 2024,142077,131708
Maret 2024,113420,118714
April 2024,194926,177246
Mei 2024,146020,156409
Juni 2024,163164,153334
Juli 2024,189006,196773
Agustus 2024,176882,165269
September 2024,164674,163291
Oktober 2024,162635,161456
November 2024,149449,151834
Desember 2024,181233,184007
Januari 2025,145637,154663
Februari 2025,131544,130763
Maret 2025,136130,114527
April 2025,164377,178775
Mei 2025,133346,134638
Juni 2025,157115,153867
Juli 2025,171753,179656
Agustus 2025,168969,156925
September 2025,149524,144988
Oktober 2025,164736,162251
November 2025,147860,152830
Desember 2025,174368,173753
