periode,tahun,bulan,pesawat_datang,pesawat_berangkat,penumpang_datang,penumpang_berangkat,penumpang_transit_datang,penumpang_transit_berangkat,kargo_datang,kargo_berangkat,bagasi_datang,bagasi_berangkat,pos_datang,pos_berangkat
2021-01,2021,1,603.0,600.0,46152.0,49900.0,0.0,0.0,116113.0,662548.0,280496.0,352960.0,0.0,0.0
2021-02,2021,2,391.0,389.0,39987.0,36699.0,0.0,0.0,94076.0,596281.0,226646.0,241215.0,0.0,0.0
2021-03,2021,3,304.0,301.0,33984.0,29343.0,0.0,0.0,67202.0,337377.0,163658.0,188604.0,0.0,0.0
2021-04,2021,4,360.0,361.0,42897.0,43517.0,0.0,0.0,66862.0,377167.0,185071.0,268530.0,0.0,0.0
2021-05,2021,5,275.0,272.0,38907.0,31422.0,0.0,0.0,47227.0,209081.0,189196.0,161420.0,0.0,0.0
2021-06,2021,6,414.0,414.0,54294.0,50490.0,0.0,0.0,63945.0,311437.0,260092.0,297144.0,0.0,0.0
2021-07,2021,7,82.0,83.0,6700.0,8183.0,0.0,0.0,32423.0,183779.0,44538.0,73804.0,0.0,0.0
2021-08,2021,8,158.0,159.0,16194.0,17042.0,0.0,0.0,58695.0,162639.0,118266.0,148014.0,0.0,0.0
2021-09,2021,9,316.0,317.0,44224.0,40249.0,0.0,0.0,90310.0,286146.0,305931.0,347178.0,0.0,0.0
2021-11,2021,11,514.0,513.0,82826.0,78574.0,0.0,0.0,99147.0,339020.0,543240.0,712391.0,0.0,0.0
2021-12,2021,12,351.0,347.0,49271.0,49252.0,0.0,0.0,76295.0,225227.0,318549.0,439733.0,0.0,0.0
2022-01,2022,1,672.0,672.0,101260.0,96793.0,0.0,0.0,119124.0,395333.0,750042.0,864119.0,0.0,939.0
2022-02,2022,2,584.0,581.0,78023.0,69840.0,0.0,0.0,126112.0,394249.0,564454.0,608460.0,0.0,0.0
2022-03,2022,3,625.0,623.0,93807.0,94216.0,0.0,0.0,120673.0,479841.0,614720.0,826562.0,0.0,0.0
2022-04,2022,4,605.0,602.0,83148.0,77267.0,0.0,0.0,138030.0,523223.0,589808.0,698023.0,0.0,0.0
2022-05,2022,5,867.0,866.0,140067.0,136824.0,0.0,0.0,126557.0,448622.0,1126620.0,1179104.0,0.0,0.0
2022-06,2022,6,847.0,852.0,133667.0,122950.0,0.0,0.0,139546.0,578369.0,929583.0,1039131.0,0.0,0.0
2022-07,2022,7,914.0,914.0,136242.0,141363.0,0.0,0.0,144064.0,558627.0,997632.0,1249760.0,0.0,0.0
2022-08,2022,8,857.0,833.0,122867.0,110766.0,0.0,0.0,136044.0,571585.0,972639.0,961803.0,0.0,0.0
2022-09,2022,9,836.0,820.0,112612.0,105293.0,0.0,0.0,137967.0,581810.0,834711.0,898301.0,0.0,0.0
2022-10,2022,10,934.0,929.0,122228.0,122606.0,0.0,0.0,133061.0,554904.0,829235.0,1007329.0,0.0,0.0
2022-11,2022,11,1049.0,1019.0,141114.0,138519.0,0.0,0.0,128317.0,615502.0,858652.0,1106015.0,0.0,0.0
2022-12,2022,12,819.0,586.0,111315.0,81601.0,0.0,0.0,86219.0,297952.0,710214.0,663293.0,0.0,0.0
2023-01,2023,1,,,,,,,,,,,,
2023-02,2023,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,2023,3,,,,,,,,,,,,
2023-04,2023,4,,,,,,,,,,,,
2023-05,2023,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,2023,6,0.0,1.0,0.0,158.0,0.0,0.0,0.0,10.0,0.0,772.0,0.0,0.0
2023-07,2023,7,,,,,,,,,,,,
2023-08,2023,8,,,,,,,,,,,,
2023-09,2023,9,,,,,,,,,,,,
2023-10,2023,10,,,,,,,,,,,,
2023-11,2023,11,,,,,,,,,,,,
2023-12,2023,12,106.0,106.0,15144.0,17788.0,0.0,0.0,12072.0,105241.0,112130.0,156392.0,0.0,0.0
2024-01,2024,1,854.0,854.0,112780.0,121240.0,0.0,3.0,94491.0,842664.0,796351.0,1011906.0,0.0,0.0
2024-02,2024,2,945.0,941.0,141602.0,131265.0,0.0,0.0,100339.0,1160259.0,1035704.0,1062577.0,0.0,0.0
2024-03,2024,3,847.0,847.0,114577.0,120318.0,0.0,0.0,143045.0,1527883.0,792825.0,990135.0,0.0,0.0
2024-04,2024,4,1067.0,1065.0,171152.0,159384.0,0.0,0.0,115409.0,917805.0,1428360.0,1420716.0,0.0,0.0
2024-05,2024,5,980.0,964.0,144029.0,150652.0,0.0,359.0,108647.0,919446.0,966773.0,1288439.0,0.0,0.0
2024-06,2024,6,1010.0,1003.0,158652.0,148052.0,0.0,691.0,127350.0,1041200.0,1107786.0,1211548.0,0.0,0.0
2024-07,2024,7,1132.0,1119.0,174426.0,178443.0,1.0,403.0,147176.0,1054607.0,1324961.0,1591534.0,0.0,1.0
2024-08,2024,8,1067.0,1066.0,165374.0,155867.0,0.0,940.0,189777.0,984324.0,1269267.0,1516833.0,0.0,0.0
2024-09,2024,9,1055.0,1055.0,156484.0,155829.0,0.0,1146.0,166019.0,1002288.0,1150803.0,1271605.0,0.0,0.0
2024-10,2024,10,1081.0,1079.0,155886.0,155842.0,0.0,1145.0,188678.0,1100392.0,1010765.0,1240087.0,0.0,0.0
2024-11,2024,11,1091.0,1087.0,148915.0,151475.0,0.0,1036.0,136516.0,1162663.0,1056453.0,1218388.0,0.0,0.0
2024-12,2024,12,1158.0,1155.0,176421.0,178842.0,0.0,535.0,219503.0,1471550.0,1201972.0,1484354.0,0.0,0.0
2025-01,2025,1,1007.0,1004.0,136771.0,145632.0,0.0,362.0,165635.0,1356009.0,1021959.0,1270115.0,0.0,0.0
2025-02,2025,2,858.0,854.0,125326.0,125808.0,0.0,276.0,187148.0,1157435.0,907123.0,1050402.0,0.0,0.0
2025-03,2025,3,854.0,850.0,121693.0,101464.0,9.0,400.0,257955.0,1573813.0,967868.0,886727.0,0.0,0.0
2025-04,2025,4,1078.0,1085.0,154624.0,168677.0,0.0,103.0,169744.0,1282610.0,1296163.0,1506423.0,0.0,0.0
2025-05,2025,5,990.0,996.0,129451.0,132707.0,0.0,696.0,219420.0,1348692.0,870184.0,1114719.0,0.0,0.0
2025-06,2025,6,1018.0,1027.0,152830.0,151904.0,0.0,333.0,246066.0,1220797.0,1113159.0,1436708.0,0.0,0.0
2025-07,2025,7,1161.0,1167.0,167442.0,175992.0,0.0,378.0,210340.0,1045120.0,1274266.0,1563121.0,0.0,0.0
2025-08,2025,8,1076.0,1084.0,163828.0,154442.0,0.0,522.0,220102.0,778021.0,1208607.0,1238978.0,0.0,0.0
2025-09,2025,9,1032.0,1040.0,144895.0,142219.0,0.0,399.0,233289.0,709173.0,987120.0,1099483.0,0.0,0.0
2025-10,2025,10,1141.0,1147.0,160686.0,160152.0,0.0,596.0,258082.0,864159.0,985660.0,1209038.0,0.0,0.0
2025-11,2025,11,1086.0,1085.0,146496.0,153198.0,0.0,2305.0,215958.0,836565.0,918716.0,1182612.0,0.0,0.0
2025-12,2025,12,1151.0,1149.0,169689.0,171122.0,0.0,2171.0,206051.0,880636.0,1120403.0,1394186.0,0.0,0.0
